,image_name,door_or_face,image_type,gender,type,pct_endorsed_child,pct_endorsed_singledoor,general_dprime,highconfidence_treshold_dprime,highconfidence_subset_dprime,age_group,age_rating,ISSUES_lookingforwardsmiling,ISSUES_lookfake,ISSUES_standout,ISSUES_duplicate,ISSUES_SUM
1,generated_photos_5e68053f6d3b380006d49a5d.png.jpg,face,boys_asian,boys,asian,0.523809524,NA,0.825494491,-2.139723543,0.286190565,non_child,14,0,0,0,0,0
2,generated_photos_5e6805836d3b380006d4a95d.png.jpg,face,boys_latino,boys,latino,0.826086957,NA,0.42430481,-1.786581467,0.08389021,non_child,14,0,0,0,0,0
3,generated_photos_5e6806d06d3b380006d4f239.png.jpg,face,girls_white,girls,white,0.636363636,NA,0.694483835,-0.786009926,0.933842749,non_child,14,0,1,1,0,2
4,generated_photos_5e6807ff6d3b380006d53439.png.jpg,face,boys_asian,boys,asian,0.454545455,NA,0.53836228,-1.028871471,0.615204584,non_child,15,0,2,1,0,3
5,generated_photos_5e680c7b6d3b380006d63dc5.png.jpg,face,boys_latino,boys,latino,0.142857143,NA,0.169161242,-1.717280224,0.875777995,non_child,17,0,0,0,0,0
6,generated_photos_5e680f676d3b380006d6ea5b.png.jpg,face,girls_asian,girls,asian,0.166666667,NA,0.313972118,-0.515909182,0.782347115,non_child,18,1,0,2,0,3
7,generated_photos_5e6810f36d3b380006d746ab.png.jpg,face,boys_asian,boys,asian,0.380952381,NA,0.288809355,-1.641911316,0,non_child,15,0,0,0,0,0
8,generated_photos_5e6818536d3b380006d8fa99.png.jpg,face,girls_white,girls,white,0.047619048,NA,0.298040068,-1.171690321,-0.089394687,non_child,17,0,1,2,0,3
9,generated_photos_5e681b016d3b380006d98d3b.png.jpg,face,boys_white,boys,white,0.789473684,NA,0.098916448,-1.831254688,0.20218281,child,12,0,0,0,0,0
10,generated_photos_5e681c096d3b380006d9c46b.png.jpg,face,girls_asian,girls,asian,0.8,NA,1.151833465,-1.08695288,1.402539746,child,11,0,1,2,0,3
11,generated_photos_5e6822586d3b380006db21ff.png.jpg,face,girls_white,girls,white,0.590909091,NA,0.930765224,-0.904506403,1.352742033,non_child,13,0,1,2,0,3
12,generated_photos_5e6823a96d3b380006db6be7.png.jpg,face,girls_white,girls,white,0.5,NA,0.344561708,-1.643691794,0.210428394,non_child,15,0,1,1,1,3
13,generated_photos_5e6824996d3b380006db9f27.png.jpg,face,boys_white,boys,white,0.384615385,NA,0.249332486,-1.698336539,1.120453114,non_child,16,0,1,0,0,1
14,generated_photos_5e6827086d3b380006dc2553.png.jpg,face,girls_white,girls,white,0.791666667,NA,0.095052394,-1.063527599,0.484103307,child,12,0,1,1,0,2
15,generated_photos_5e6828386d3b380006dc6787.png.jpg,face,boys_latino,boys,latino,0.304347826,NA,0.107101285,-1.383105358,0.126364693,non_child,16,0,0,0,0,0
16,generated_photos_5e682f816d3b380006ddf441.png.jpg,face,boys_white,boys,white,0.714285714,NA,0.176185719,-1.478206497,0.444605633,non_child,13,0,0,0,0,0
17,generated_photos_5e6835eb6d3b380006df58c1.png.jpg,face,boys_asian,boys,asian,0.25,NA,0.409628857,-1.404142654,0,non_child,16,0,1,0,0,1
18,generated_photos_5e68395e6d3b380006e0185f.png.jpg,face,boys_black,boys,black,0.619047619,NA,0.809231251,-1.448454444,0.547656978,non_child,15,0,0,0,0,0
19,generated_photos_5e6840a26d3b380006e1b867.png.jpg,face,girls_white,girls,white,0.727272727,NA,0.282429694,-1.048504339,0.86278811,non_child,13,0,0,2,0,2
20,generated_photos_5e68453a6d3b380006e2c2dd.png.jpg,face,boys_white,boys,white,0.421052632,NA,0.673485106,-0.769383577,0.993129114,non_child,16,0,1,1,0,2
21,generated_photos_5e6849796d3b380006e3b943.png.jpg,face,boys_white,boys,white,0.235294118,NA,0.982621608,-0.06968492,1.1774265,non_child,16,0,0,0,0,0
22,generated_photos_5e684fa56d3b380006e51cb7.png.jpg,face,girls_latino,girls,latino,0.5,NA,0.529631435,-1.58974444,-0.270816434,non_child,15,0,1,1,1,3
23,generated_photos_5e68518f6d3b380006e58c0b.png.jpg,face,boys_white,boys,white,0.263157895,NA,0.142577275,-1.390474413,0.288574795,non_child,15,0,1,0,1,2
24,generated_photos_5e6861cc6d3b380006e936bb.png.jpg,face,girls_white,girls,white,0,NA,0.234039274,-0.769383577,0.791428485,non_child,18,0,1,2,0,3
25,generated_photos_5e6865cf6d3b380006ea1bbd.png.jpg,face,boys_white,boys,white,0.869565217,NA,0.620152434,-0.951680088,1.574353712,non_child,13,0,1,1,1,3
26,generated_photos_5e6866026d3b380006ea27dd.png.jpg,face,boys_white,boys,white,0.857142857,NA,0.537519106,-1.139168656,0.339428681,non_child,14,0,0,1,0,1
27,generated_photos_5e6867486d3b380006ea7469.png.jpg,face,girls_latino,girls,latino,0.772727273,NA,0.519984077,-0.930626465,0.332015677,non_child,12,2,1,0,0,3
28,generated_photos_5e6867aa6d3b380006ea8afb.png.jpg,face,boys_latino,boys,latino,0.545454545,NA,0.264755028,-0.904506403,0.579348609,non_child,15,0,2,1,0,3
29,generated_photos_5e687e3f6d3b380006efae57.png.jpg,face,boys_white,boys,white,0.736842105,NA,0.934589291,-1.575096364,0.677432061,non_child,14,0,1,0,0,1
30,generated_photos_5e687e4d6d3b380006efb195.png.jpg,face,boys_latino,boys,latino,0.545454545,NA,0.635734436,-2.069164466,0.409070064,non_child,15,0,1,2,0,3
31,generated_photos_5e68814a6d3b380006f060b7.png.jpg,face,boys_latino,boys,latino,0.444444444,NA,1.09059291,-1.008588169,1.659781891,non_child,14,0,0,2,0,2
32,generated_photos_5e6883586d3b380006f0d83d.png.jpg,face,boys_black,boys,black,0.428571429,NA,0.409983322,-1.58974444,0.478645155,non_child,15,0,1,1,0,2
33,generated_photos_5e6886ab6d3b380006f19a21.png.jpg,face,boys_asian,boys,asian,0.136363636,NA,0.388037435,-1.859451884,0.425532251,non_child,17,0,1,0,0,1
34,generated_photos_5f1818a41f67b000067fa177.png.jpg,face,boys_asian,boys,asian,0.1,NA,0.776089679,-1.986670613,-0.501826093,non_child,16,0,2,1,0,3
35,generated_photos_5f1818e21f67b000067fb5db.png.jpg,face,boys_asian,boys,asian,0.130434783,NA,0.488776411,-1.388211319,0.810110881,non_child,16,0,0,0,0,0
36,generated_photos_5f1822891f67b0000682a430.png.jpg,face,boys_latino,boys,latino,0.761904762,NA,0.409983322,-1.495401743,0.432145113,child,12,0,0,1,0,1
37,generated_photos_5f1823d71f67b00006830ae1.png.jpg,face,boys_asian,boys,asian,0.047619048,NA,1.008014028,-0.825494491,1.024688034,non_child,17,0,0,0,0,0
38,generated_photos_5f18258e1f67b00006839049.png.jpg,face,boys_asian,boys,asian,0.176470588,NA,0.369008962,-0.845680168,0.778164198,non_child,16,0,0,1,0,1
39,generated_photos_5f18266d1f67b0000683d3cf.png.jpg,face,boys_asian,boys,asian,0.217391304,NA,0.082052159,-1.786282989,-0.219562971,non_child,16,0,0,0,0,0
40,generated_photos_5f182bcf1f67b0000685714e.png.jpg,face,boys_asian,boys,asian,0.090909091,NA,0.17190726,-1.306862629,0.021027891,non_child,16,0,0,0,0,0
41,generated_photos_5f182dfd1f67b00006861571.png.jpg,face,boys_asian,boys,asian,0.238095238,NA,0.290335209,-1.854250868,0.793538329,non_child,15,0,1,1,1,3
42,generated_photos_5f182f4c1f67b0000686762e.png.jpg,face,boys_asian,boys,asian,0.16,NA,0.258577852,-1.496823181,0.129184369,non_child,16,0,0,0,0,0
43,generated_photos_5f1830b61f67b0000686da09.png.jpg,face,girls_asian,girls,asian,0.35,NA,0.409983322,-0.926293516,0.677941443,non_child,15,0,2,0,0,2
44,generated_photos_5f1833f01f67b0000687c5ec.png.jpg,face,boys_asian,boys,asian,0.037037037,NA,0.475384621,-0.514156101,1.220647716,non_child,17,0,0,1,0,1
45,generated_photos_5f896ddb5bec830008379dc2.jpg,face,boys_black,boys,black,0.166666667,NA,0.240875338,-2.014939546,0.197543852,non_child,16,0,0,0,1,1
46,generated_photos_5f896e395bec83000837c1e6.png.jpg,face,girls_black,girls,black,0.222222222,NA,0.05224518,-0.887146559,0.463707751,child,14,0,0,3,0,3
47,generated_photos_5f896ea85bec83000837ebe9.png.jpg,face,girls_asian,girls,asian,0.055555556,NA,0.742607462,-1.165217553,0.230294802,non_child,17,0,1,0,0,1
48,generated_photos_5f8973495bec830008399c2e.jpg,face,girls_black,girls,black,0.75,NA,0.168910095,-0.962067841,0.193811696,child,11,0,1,1,1,3
49,generated_photos_5f8974015bec83000839de25.png.jpg,face,boys_black,boys,black,0.681818182,NA,0.635734436,-1.959963985,0.197543852,child,11,1,1,1,0,3
50,generated_photos_5f8976a65bec8300083ad53f.png.jpg,face,girls_latino,girls,latino,0.095238095,NA,0.408457468,-1.040596107,1.249637713,non_child,15,0,3,0,0,3
51,generated_photos_5f8979fb5bec8300083c15eb.jpg,face,boys_latino,boys,latino,0.166666667,NA,0.63018197,-2.036834132,0,non_child,16,0,0,1,0,1
52,generated_photos_5f897a935bec8300083c4cff.png.jpg,face,girls_black,girls,black,0.105263158,NA,0.427839846,-1.455014446,-0.036423217,non_child,16,1,1,1,0,3
53,generated_photos_5f897c545bec8300083cf520.png.jpg,face,boys_black,boys,black,0.722222222,NA,0.231811822,-1.401807692,0.65418824,non_child,15,0,0,2,1,3
54,generated_photos_5f897efe5bec8300083de4a2.png.jpg,face,boys_black,boys,black,0.652173913,NA,0.577800295,-1.548731953,0.448754838,child,12,0,0,2,0,2
55,number_111_generated_photos_5e68276e6d3b380006dc3b19.jpg_fixed.jpg,face,girls_latino,girls,latino,0.75,NA,0.476689625,-1.761634603,-0.32344139,child,12,0,1,2,0,3
56,number_113_generated_photos_5e687b106d3b380006eeefd9_fixed.jpg,face,girls_latino,girls,latino,0.56,NA,0.369008962,-1.125793482,0.150089237,child,11,0,1,3,0,4
