onset	duration	trial_type	rt	resp	selection	gender	image_left	image_right	image_left_type	image_right_type
0.0	1.0	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1.0242391000501812	2.5008840998634696	decision_monetary_loss	2.2860858000349253	7	left	D	DD023.jpg	DD024.jpg	blue	white
3.5253069999162108	0.5078650000505149	ISI	n/a	n/a	n/a	D	DD023.jpg	DD024.jpg	blue	white
4.033229500055313	1.0159346000291407	feedback_monetary_loss_negative	n/a	n/a	n/a	D	DD023.jpg	DD024.jpg	blue	white
5.04955630004406	2.0001441999338567	ITI	n/a	n/a	n/a	D	DD023.jpg	DD024.jpg	blue	white
7.066085000056773	2.500655399868265	decision_monetary_win	1.1619891000445932	2	right	D	DD015.jpg	DD016.jpg	blue	brown
9.566908499924466	0.5159893000964075	ISI	n/a	n/a	n/a	D	DD015.jpg	DD016.jpg	blue	brown
10.082957499893382	1.0162901000585407	feedback_monetary_win_positive	n/a	n/a	n/a	D	DD015.jpg	DD016.jpg	blue	brown
11.099346299888566	4.000220800051466	ITI	n/a	n/a	n/a	D	DD015.jpg	DD016.jpg	blue	brown
15.108118599979207	2.5017645999323577	decision_monetary_win	2.0359340999275446	7	left	D	DD013.jpg	DD014.jpg	brown	green
17.610033500008285	1.506260900059715	ISI	n/a	n/a	n/a	D	DD013.jpg	DD014.jpg	brown	green
19.116350800031796	1.0160550998989493	feedback_monetary_win_neutral	n/a	n/a	n/a	D	DD013.jpg	DD014.jpg	brown	green
20.132508900016546	1.0004215999506414	ITI	n/a	n/a	n/a	D	DD013.jpg	DD014.jpg	brown	green
21.14116150001064	2.5023246000055224	decision_monetary_loss	2.302829100051895	2	right	S	SD029.jpg	SD030.jpg	black	red
23.643632699968293	0.5059553999453783	ISI	n/a	n/a	n/a	S	SD029.jpg	SD030.jpg	black	red
24.14964499999769	1.0161494000349194	feedback_monetary_loss_negative	n/a	n/a	n/a	S	SD029.jpg	SD030.jpg	black	red
25.165904599940404	5.000355600146577	ITI	n/a	n/a	n/a	S	SD029.jpg	SD030.jpg	black	red
30.174442499876022	2.5013546000700444	decision_monetary_win	1.9535952000878751	2	right	D	DD003.jpg	DD004.jpg	green	blue
32.67596230003983	2.0069250999949872	ISI	n/a	n/a	n/a	D	DD003.jpg	DD004.jpg	green	blue
34.68294600001536	1.0161731999833137	feedback_monetary_win_positive	n/a	n/a	n/a	D	DD003.jpg	DD004.jpg	green	blue
35.699226799886674	2.0005017002113163	ITI	n/a	n/a	n/a	D	DD003.jpg	DD004.jpg	green	blue
37.70795680000447	2.500529099954292	decision_monetary_win	1.4200840000994503	7	left	D	DD019.jpg	DD020.jpg	blue	brown
40.208638899959624	0.5075926000718027	ISI	n/a	n/a	n/a	D	DD019.jpg	DD020.jpg	blue	brown
40.716286999871954	1.0161107000894845	feedback_monetary_win_positive	n/a	n/a	n/a	D	DD019.jpg	DD020.jpg	blue	brown
41.732499399920925	1.0003841000143439	ITI	n/a	n/a	n/a	D	DD019.jpg	DD020.jpg	blue	brown
42.741184199927375	2.5004913001321256	decision_monetary_loss	2.2028243001550436	7	left	S	SD025.jpg	SD026.jpg	green	gray
45.241844800068066	0.5077231000177562	ISI	n/a	n/a	n/a	S	SD025.jpg	SD026.jpg	green	gray
45.749624700052664	1.0160699000116438	feedback_monetary_loss_negative	n/a	n/a	n/a	S	SD025.jpg	SD026.jpg	green	gray
46.76579579990357	1.0004662000574172	ITI	n/a	n/a	n/a	S	SD025.jpg	SD026.jpg	green	gray
47.774714099941775	2.500965400133282	decision_monetary_loss	1.0860250000841916	2	right	D	DD027.jpg	DD028.jpg	blue	red
50.275849000085145	2.006869599921629	ISI	n/a	n/a	n/a	D	DD027.jpg	DD028.jpg	blue	red
52.282776300096884	1.0162527000065893	feedback_monetary_loss_negative	n/a	n/a	n/a	D	DD027.jpg	DD028.jpg	blue	red
53.29913210007362	1.0005832999013364	ITI	n/a	n/a	n/a	D	DD027.jpg	DD028.jpg	blue	red
54.30799219990149	2.502064400119707	decision_monetary_loss	1.9359478000551462	7	left	S	SD031.jpg	SD032.jpg	red	purple
56.81021540006623	1.0060415999032557	ISI	n/a	n/a	n/a	S	SD031.jpg	SD032.jpg	red	purple
57.81631470005959	1.0160419999156147	feedback_monetary_loss_negative	n/a	n/a	n/a	S	SD031.jpg	SD032.jpg	red	purple
58.83246219996363	1.0006792000494897	ITI	n/a	n/a	n/a	S	SD031.jpg	SD032.jpg	red	purple
59.84153939993121	2.5079892999492586	decision_monetary_win_MISSED	missed	missed	missed	S	SD005.jpg	SD006.jpg	black	black
62.34965769993141	0.5010367000941187	ISI	0.2832535000052303	7	left	S	SD005.jpg	SD006.jpg	black	black
62.850749999983236	1.014905600110069	feedback_monetary_win_MISSED	n/a	n/a	n/a	S	SD005.jpg	SD006.jpg	black	black
63.86576119996607	4.0004110999871045	ITI	n/a	n/a	n/a	S	SD005.jpg	SD006.jpg	black	black
67.87451709993184	2.5018958000000566	decision_monetary_win	1.0686848000623286	7	left	S	SD015.jpg	SD016.jpg	yellow	brown
70.37657499988563	1.5062837000004947	ISI	n/a	n/a	n/a	S	SD015.jpg	SD016.jpg	yellow	brown
71.8829151999671	1.016041100025177	feedback_monetary_win_positive	n/a	n/a	n/a	S	SD015.jpg	SD016.jpg	yellow	brown
72.89906540000811	1.0004843999631703	ITI	n/a	n/a	n/a	S	SD015.jpg	SD016.jpg	yellow	brown
73.9078782000579	2.500800299923867	decision_monetary_win	0.8027772998902947	2	right	D	DD017.jpg	DD018.jpg	red	brown
