onset	duration	trial_type	rt	resp	selection	gender	image	image_type
0.0	1.0	ISI	n/a	n/a	n/a	n/a	n/a	n/a
1.019013699842617	2.7502970001660287	decision_monetary	1.4742635001894087	8	predict_loss	S	SD037.jpg	red
3.7696061998140067	1.2637824001722038	ISI	n/a	n/a	n/a	S	SD037.jpg	red
5.036793499952182	2.751024500001222	decision_monetary	1.9074893000070006	2	recall_win	D	DD017.jpg	red
7.788121899822727	2.7612056001089513	ISI	n/a	n/a	n/a	D	DD017.jpg	red
10.552752899937332	2.751196699915454	decision_monetary	1.9084131000563502	9	predict_win	D	DD031.jpg	pink
13.304252699948847	1.7617667000740767	ISI	n/a	n/a	n/a	D	DD031.jpg	pink
15.069510099943727	2.751490799942985	decision_monetary	1.5405375000555068	8	predict_loss	D	DD007.jpg	blue
17.821298699826002	2.011257000034675	ISI	n/a	n/a	n/a	D	DD007.jpg	blue
19.836106800008565	2.7511183999013156	decision_monetary	1.9571028999052942	9	predict_win	D	DD034.jpg	purple
22.58752779988572	3.761758100008592	ISI	n/a	n/a	n/a	D	DD034.jpg	purple
26.352907299995422	2.7508592000231147	decision_monetary	1.0412041998934	2	recall_win	S	SD001.jpg	green
29.104073399910703	1.5118499000091106	ISI	n/a	n/a	n/a	S	SD001.jpg	green
30.61953949998133	2.751363799907267	decision_monetary	1.506730099907145	3	recall_loss	D	DD035.jpg	brown
33.37120079994202	1.0114132999442518	ISI	n/a	n/a	n/a	D	DD035.jpg	brown
34.38599839992821	2.751161399995908	decision_monetary	1.2903849999420345	2	recall_win	S	SD035.jpg	blue
37.13746919995174	5.761788599891588	ISI	n/a	n/a	n/a	S	SD035.jpg	blue
42.902817899826914	2.7504061001818627	decision_monetary	1.0246892999857664	2	recall_win	D	DD022.jpg	blue
45.6536631998606	6.0121264001354575	ISI	n/a	n/a	n/a	D	DD022.jpg	blue
51.669196699978784	2.7517220999579877	decision_monetary	1.3751409999094903	3	recall_loss	D	DD033.jpg	red
54.421435199910775	1.261039299890399	ISI	n/a	n/a	n/a	D	DD033.jpg	red
55.68613369995728	2.751899699913338	decision_monetary	2.423160299891606	7	predict_neutral	D	DD029.jpg	brown
58.43834099988453	1.5108591001480818	ISI	n/a	n/a	n/a	D	DD029.jpg	brown
59.95280590001494	2.7510601999238133	decision_monetary	2.0564793997909874	9	predict_win	S	SD042.jpg	purple
62.70416669989936	3.0114092000294477	ISI	n/a	n/a	n/a	S	SD042.jpg	purple
65.71910530002788	2.751873299945146	decision_monetary	2.6401330998633057	9	predict_win	D	DD020.jpg	brown
68.47129020001739	1.5112214998807758	ISI	n/a	n/a	n/a	D	DD020.jpg	brown
69.98601479991339	2.7512137000449	decision_monetary	1.4072346000466496	3	recall_loss	S	SD030.jpg	red
72.73757330002263	2.261494099861011	ISI	n/a	n/a	n/a	S	SD030.jpg	red
75.00248049991205	2.7516779999714345	decision_monetary	1.307814700063318	2	recall_win	D	DD013.jpg	brown
77.75446179998107	1.7612566000316292	ISI	n/a	n/a	n/a	D	DD013.jpg	brown
79.5191446999088	2.7502111000940204	decision_monetary	1.6911065999884158	8	predict_loss	S	SD029.jpg	black
82.26965059991926	1.0127973000053316	ISI	n/a	n/a	n/a	S	SD029.jpg	black
83.28604549984448	2.750767700141296	decision_monetary	1.6733673000708222	7	predict_neutral	D	DD025.jpg	brown
86.03711969987489	1.7618867000564933	ISI	n/a	n/a	n/a	D	DD025.jpg	brown
87.80273999995552	2.751796199940145	decision_monetary	1.4745751998852938	7	predict_neutral	D	DD016.jpg	brown
90.55486000003293	3.7608236998785287	ISI	n/a	n/a	n/a	D	DD016.jpg	brown
94.31934399995953	2.7511388999409974	decision_monetary	1.6904756999574602	9	predict_win	S	SD003.jpg	yellow
97.07079479983076	2.0116419000551105	ISI	n/a	n/a	n/a	S	SD003.jpg	yellow
99.08593729999848	2.751905499957502	decision_monetary	2.041331899818033	3	recall_loss	D	DD030.jpg	brown
101.83815209986642	1.01104070013389	ISI	n/a	n/a	n/a	D	DD030.jpg	brown
102.85271899984218	2.750606199959293	decision_monetary	1.1904547000303864	3	recall_loss	S	SD040.jpg	brown
105.60363429994322	4.012040399946272	ISI	n/a	n/a	n/a	S	SD040.jpg	brown
109.61915709986351	2.750685000093654	decision_monetary	1.708072799956426	8	predict_loss	D	DD011.jpg	brown
112.37014609994367	3.2621436999179423	ISI	n/a	n/a	n/a	D	DD011.jpg	brown
115.63583479984663	2.751332800136879	decision_monetary	0.9914117001462728	2	recall_win	S	SD025.jpg	green
118.38749499991536	3.0115394999738783	ISI	n/a	n/a	n/a	S	SD025.jpg	green
121.40260959998704	2.750388399930671	decision_monetary	0.6397402998991311	2	recall_win	D	DD008.jpg	blue
124.15331439999864	5.262305399868637	ISI	n/a	n/a	n/a	D	DD008.jpg	blue
129.41939539997838	2.7504964999388903	decision_monetary	1.491031900048256	8	predict_loss	D	DD021.jpg	red
132.17020939989015	5.512132500065491	ISI	n/a	n/a	n/a	D	DD021.jpg	red
137.68584379996173	2.7514114000368863	decision_monetary	1.757232999894768	2	recall_win	S	SD021.jpg	blue
140.43757309997454	1.0113216999452561	ISI	n/a	n/a	n/a	S	SD021.jpg	blue
141.4524548999034	2.751842200057581	decision_monetary	1.4078114000149071	2	recall_win	D	DD023.jpg	blue
144.2046149999369	2.5109876000788063	ISI	n/a	n/a	n/a	D	DD023.jpg	blue
146.71912109991536	2.75207499996759	decision_monetary	1.4913892999757081	9	predict_win	D	DD009.jpg	white
