Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Vision,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
660700566c344b0044ed4316,612682ec747ac2d5df40f7df,APPROVED,Not Applicable,2024-03-29T17:54:34.921000Z,2024-03-29T18:07:48.989000Z,2024-04-01T20:51:06.560000Z,2024-03-29T18:07:50.308000Z,795.0,C6OYD5CR,2374,English,Yes,23,Male,Other,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
660700d0b6df4be98976b958,5eeaff28cf5da71d691ef212,APPROVED,Not Applicable,2024-03-29T17:56:36.056000Z,2024-03-29T18:16:44.723000Z,2024-04-01T20:51:07.073000Z,2024-03-29T19:22:00.442000Z,1209.0,C6OYD5CR,2784,"Chinese, English",Yes,25,Male,Asian,United States,United States,United States,English,No,DATA_EXPIRED
660700f2f8662f16fb321f0a,5d16d17119d2ed0015e21360,APPROVED,Not Applicable,2024-03-29T17:57:14.601000Z,2024-03-29T18:27:37.394000Z,2024-04-01T20:51:07.537000Z,2024-03-29T18:27:38.275000Z,1823.0,C6OYD5CR,4889,English,Yes,23,Female,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
660700f5a7b75f820781237e,5f2c760dfff10e03206a686b,APPROVED,Not Applicable,2024-03-29T17:57:12.848000Z,2024-03-29T19:22:00.145000Z,2024-04-01T20:51:07.868000Z,2024-03-29T19:22:21.607000Z,5088.0,C6OYD5CR,1615,English,Yes,24,Female,White,United States,United States,United States,English,DATA_EXPIRED,Unemployed (and job seeking)
66070207d06fa226cf85ee0b,65e6bb6d663548c538da4fae,APPROVED,Not Applicable,2024-03-29T18:05:28.136000Z,2024-03-29T18:36:30.158000Z,2024-04-01T20:51:08.243000Z,2024-03-29T18:37:09.960000Z,1863.0,C6OYD5CR,1046,English,Yes,23,Male,Other,United States,United States,United States,English,Yes,Full-Time
660702569a9539eef5572359,651adee4c39c1b8ccfd30c2c,APPROVED,Not Applicable,2024-03-29T18:03:16.366000Z,2024-03-29T18:11:32.747000Z,2024-04-01T20:51:08.650000Z,2024-03-29T19:12:17.515000Z,497.0,C6OYD5CR,1108,English,Yes,21,Female,Asian,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
660702c11bd4102d093f0f3b,5fb0a3d6a8e4224b973e750b,APPROVED,Not Applicable,2024-03-29T18:04:49.049000Z,2024-03-29T18:43:49.873000Z,2024-04-01T20:51:08.969000Z,2024-03-29T18:43:50.615000Z,2341.0,C6OYD5CR,4689,"English, Spanish",Yes,26,Male,White,United States,United States,United States,English,No,Part-Time
66070307da897e12d9d7b663,655ff3dc53e8c9955c6d2132,APPROVED,Not Applicable,2024-03-29T18:06:02.385000Z,2024-03-29T18:29:44.038000Z,2024-04-01T20:51:09.308000Z,2024-03-29T18:29:45.393000Z,1422.0,C6OYD5CR,1491,"Korean, English",Yes,20,Female,Asian,United States,United States,United States,English,Yes,Part-Time
660703ba853198a8154a69e2,65a14e69d16d066ea41de2a4,APPROVED,Not Applicable,2024-03-29T18:09:03.843000Z,2024-03-29T18:42:01.583000Z,2024-04-01T20:51:09.595000Z,2024-03-29T18:42:02.694000Z,1978.0,C6OYD5CR,927,English,Yes,24,Female,Mixed,United States,United States,United States,English,No,Full-Time
660703bc3ca1e19e460839e2,63d42387aba51e699ab9ce5c,APPROVED,Not Applicable,2024-03-29T18:09:20.900000Z,2024-03-29T18:34:11.828000Z,2024-04-01T20:51:09.947000Z,2024-03-29T18:34:14.019000Z,1491.0,NOCODE,2149,English,Yes,24,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
660703ee914ca6946267b705,5d6513f46f5284000118ef1d,APPROVED,Not Applicable,2024-03-29T18:10:45.679000Z,2024-03-29T18:30:48.740000Z,2024-04-01T20:51:10.255000Z,2024-03-29T18:30:49.674000Z,1204.0,C6OYD5CR,3945,English,Yes,25,Male,White,United States,United States,United States,English,Yes,Part-Time
6607044bd5f5357e11924528,61259d15b416f3964d7193a5,APPROVED,Not Applicable,2024-03-29T18:11:27.353000Z,2024-03-29T18:24:48.212000Z,2024-04-01T20:51:10.713000Z,2024-03-29T18:24:50.542000Z,801.0,C6OYD5CR,461,English,Yes,21,Female,White,United States,United States,United States,English,DATA_EXPIRED,Part-Time
6607047a19dc5173fbbc91a3,6605d27273f797141d2cf319,APPROVED,Not Applicable,2024-03-29T18:14:16.328000Z,2024-03-29T18:39:47.641000Z,2024-04-01T20:51:11.037000Z,2024-03-29T18:40:49.522000Z,1532.0,C6OYD5CR,35,English,Yes,22,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6607056f556b2779263fabf4,616604bed27acb2f4e2841a9,APPROVED,Not Applicable,2024-03-29T18:17:57.547000Z,2024-03-29T19:26:28.448000Z,2024-04-01T20:51:11.366000Z,2024-03-29T19:26:29.272000Z,4111.0,NOCODE,3246,"English, Japanese, Spanish",Yes,26,Male,White,United States,United States,United States,English,No,Full-Time
66070575b7da8f7c4297e397,65c27542f2f5d42d352eb289,APPROVED,Not Applicable,2024-03-29T18:16:31.211000Z,2024-03-29T19:13:07.103000Z,2024-04-01T20:51:11.702000Z,2024-03-29T19:13:09.211000Z,3396.0,C6OYD5CR,194,English,Yes,26,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
660705c76f3484d31897f9cf,655f8b313aadb767f13fddeb,APPROVED,Not Applicable,2024-03-29T18:18:01.072000Z,2024-03-29T18:38:25.711000Z,2024-04-01T20:51:12.095000Z,2024-03-29T18:40:41.694000Z,1225.0,C6OYD5CR,493,English,Yes,25,Female,Black,United States,United States,United States,English,Yes,Other
6607060082a8f669b5ba031e,610ef1140e35c1351e7f6a1b,APPROVED,Not Applicable,2024-03-29T18:18:44.740000Z,2024-03-29T18:46:37.037000Z,2024-04-01T20:51:12.528000Z,2024-03-29T18:46:37.868000Z,1673.0,C6OYD5CR,939,English,Yes,23,Male,Black,United States,United States,United States,English,No,Unemployed (and job seeking)
660706086680c29523f50271,6500a84f0a4f87687fa51a20,APPROVED,Not Applicable,2024-03-29T18:23:03.804000Z,2024-03-29T18:40:38.745000Z,2024-04-01T20:51:13.052000Z,2024-03-29T18:41:03.410000Z,1055.0,C6OYD5CR,1843,English,Yes,24,Male,Mixed,United States,United States,United States,English,Yes,Unemployed (and job seeking)
660706265716a350f5feeb35,64016b31c3a34648748168d1,APPROVED,Not Applicable,2024-03-29T18:19:22.099000Z,2024-03-29T18:44:47.582000Z,2024-04-01T20:51:13.359000Z,2024-03-29T18:44:48.394000Z,1526.0,C6OYD5CR,2111,English,Yes,26,Male,White,United States,United States,United States,English,No,Part-Time
6607064201ab605e428f3569,631275e35e145fd8341acb9d,APPROVED,Not Applicable,2024-03-29T18:20:04.837000Z,2024-03-29T18:37:08.091000Z,2024-04-01T20:51:13.789000Z,2024-03-29T19:41:07.517000Z,1024.0,C6OYD5CR,1704,"English, Spanish",Yes,20,Male,Other,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6607066d19dc5173fbbc922e,5e6fe86f7245355b33d7b045,APPROVED,Not Applicable,2024-03-29T18:22:08.343000Z,2024-03-29T18:39:25.484000Z,2024-04-01T20:51:14.128000Z,2024-03-29T18:40:47.908000Z,1038.0,C6OYD5CR,2173,English,Yes,22,Female,White,United States,United States,United States,English,DATA_EXPIRED,Part-Time
660706961769701f4f8a72db,65b7e0ee3f2311195bbcd6df,APPROVED,Not Applicable,2024-03-29T18:21:19.057000Z,2024-03-29T18:37:59.971000Z,2024-04-01T20:51:14.430000Z,2024-03-29T18:40:37.196000Z,1001.0,C6OYD5CR,854,English,Yes,24,Female,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6607069c483c66b15d85f320,65cba09158b74649b3cd7505,APPROVED,Not Applicable,2024-03-29T18:21:20.083000Z,2024-03-29T18:51:47.637000Z,2024-04-01T20:51:14.726000Z,2024-03-29T18:54:43.731000Z,1828.0,C6OYD5CR,713,"English, Vietnamese",Yes,24,Female,Asian,United States,United States,United States,Vietnamese,DATA_EXPIRED,DATA_EXPIRED
660706b1bd68f244b742bc36,6006f8b3977ac90f0e81d37d,APPROVED,Not Applicable,2024-03-29T18:21:47.449000Z,2024-03-29T18:39:18.052000Z,2024-04-01T20:51:15.049000Z,2024-03-29T18:40:46.791000Z,1051.0,C6OYD5CR,1478,"Chinese, English",Yes,22,Female,Asian,United States,United States,United States,Chinese,DATA_EXPIRED,DATA_EXPIRED
660706b450a276a22e27e497,5e0d0ba13f29154adf4ff08b,APPROVED,Not Applicable,2024-03-29T18:21:43.764000Z,2024-03-29T18:34:42.834000Z,2024-04-01T20:51:15.335000Z,2024-03-29T18:34:44.077000Z,780.0,C6OYD5CR,1449,"English, Arabic",Yes,25,Male,White,United States,United States,United States,English,Yes,Other
660707a0e44834c0c43ed87e,5dd9df0e946f7c97406a55ea,APPROVED,Not Applicable,2024-03-29T18:25:42.201000Z,2024-03-29T18:52:17.759000Z,2024-04-01T20:51:15.634000Z,2024-03-29T18:54:48.759000Z,1596.0,C6OYD5CR,4514,English,Yes,24,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
660708c269c639ce8b2da344,63ead665638c8546d8c3a962,APPROVED,Not Applicable,2024-03-29T18:30:33.892000Z,2024-03-29T18:51:28.438000Z,2024-04-01T20:51:16.026000Z,2024-03-29T18:54:42.051000Z,1255.0,C6OYD5CR,1740,English,Yes,22,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
660708c97e3d5f526594cd5d,65e43b2d854b38d4312fc45b,APPROVED,Not Applicable,2024-03-29T18:30:42.321000Z,2024-03-29T18:54:16.273000Z,2024-04-01T20:51:16.716000Z,2024-03-29T18:55:39.724000Z,1414.0,C6OYD5CR,352,English,Yes,22,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
66070ea7b7da8f7c4297e634,6079ff1600ff2b7455e1c3e0,APPROVED,Not Applicable,2024-03-29T18:55:49.323000Z,2024-03-29T19:31:04.199000Z,2024-04-01T20:51:17.122000Z,2024-03-29T19:31:15.893000Z,2115.0,C6OYD5CR,1787,English,Yes,22,Female,Black,United States,United States,United States,English,DATA_EXPIRED,Other
660dc4a34f30366171d811f8,65e7268999edcabd9a220240,APPROVED,Not Applicable,2024-04-03T21:06:15.832000Z,2024-04-03T21:28:29.616000Z,2024-04-04T12:34:53.211000Z,2024-04-03T21:28:30.855000Z,1334.0,C6OYD5CR,112,"English, German",Yes,21,Prefer not to say,Mixed,Japan,United States,United States,Japanese,DATA_EXPIRED,DATA_EXPIRED
