gender,race,image_name,age_group,age_rating,ISSUES_lookingforwardsmiling,ISSUES_lookfake,ISSUES_standout,ISSUES_duplicate,ISSUES_SUM
girls,white,generated_photos_5e6840a26d3b380006e1b867.png.jpg,non_child,13,0,0,2,0,2
boys,asian,generated_photos_5e68099e6d3b380006d594e3.png.jpg,child,10,0,0,1,0,1
boys,asian,generated_photos_5e68144e6d3b380006d80bc3.png.jpg,child,9,0,1,0,0,1
boys,asian,generated_photos_5e68248a6d3b380006db9be3.png.jpg,child,10,0,1,0,0,1
boys,asian,generated_photos_5e68305a6d3b380006de235f.png.jpg,child,11,0,0,0,1,1
boys,asian,generated_photos_5e6845e36d3b380006e2e8cb.png.jpg,child,11,1,0,0,0,1
boys,asian,generated_photos_5e6878626d3b380006ee5087.png.jpg,child,10,0,0,1,0,1
boys,latino,generated_photos_5e683a8c6d3b380006e05a79.png.jpg,child,9,0,0,0,1,1
boys,latino,generated_photos_5e6875aa6d3b380006edb253.png.jpg,child,11,0,0,1,0,1
boys,latino,generated_photos_5e6877866d3b380006ee1d49.png.jpg,child,10,1,0,0,0,1
boys,latino,generated_photos_5f1822891f67b0000682a430.png.jpg,child,12,0,0,1,0,1
boys,white,generated_photos_5e680a5b6d3b380006d5c0a5.png.jpg,child,10,1,0,0,0,1
boys,white,generated_photos_5e680d216d3b380006d663ef.png.jpg,child,12,0,1,0,0,1
boys,white,generated_photos_5e6812f36d3b380006d7bbcb.png.jpg,child,9,0,0,1,0,1
boys,white,generated_photos_5e68589f6d3b380006e72573.png.jpg,child,12,0,0,1,0,1
boys,white,generated_photos_5e6881716d3b380006f0695f.png.jpg,child,10,0,0,1,0,1
girls,asian,generated_photos_5e680c986d3b380006d6446f.png.jpg,child,10,0,0,1,0,1
girls,asian,generated_photos_5e6856006d3b380006e68ced.png.jpg,child,9,0,0,1,0,1
girls,asian,generated_photos_5f181e071f67b0000681457b.png.jpg,child,11,0,0,1,0,1
girls,latino,generated_photos_5e6802006d3b380006d3dd17.png.jpg,child,11,0,0,1,0,1
girls,latino,generated_photos_5e684ada6d3b380006e4090d.png.jpg,child,10,0,1,0,0,1
girls,latino,generated_photos_5e6861d36d3b380006e9382b.png.jpg,child,12,0,0,1,0,1
girls,latino,generated_photos_5e68726d6d3b380006ecf8c5.png.jpg,child,11,0,0,0,1,1
girls,white,generated_photos_5e680bd96d3b380006d61843.png.jpg,child,10,0,1,0,0,1
girls,white,generated_photos_5e6832796d3b380006de9a61.png.jpg,child,9,0,0,1,0,1
girls,white,generated_photos_5e684aec6d3b380006e40d01.png.jpg,child,10,0,0,1,0,1
boys,asian,generated_photos_5e6835eb6d3b380006df58c1.png.jpg,non_child,16,0,1,0,0,1
boys,asian,generated_photos_5e6886ab6d3b380006f19a21.png.jpg,non_child,17,0,1,0,0,1
boys,asian,generated_photos_5f18258e1f67b00006839049.png.jpg,non_child,16,0,0,1,0,1
boys,asian,generated_photos_5f182ba91f67b0000685658a.png.jpg,non_child,15,0,0,1,0,1
boys,asian,generated_photos_5f182c2b1f67b00006858c78.png.jpg,non_child,13,0,1,0,0,1
boys,asian,generated_photos_5f1833f01f67b0000687c5ec.png.jpg,non_child,17,0,0,1,0,1
boys,black,generated_photos_5e68682d6d3b380006eaa8d9.jpg,non_child,15,0,1,0,0,1
boys,black,generated_photos_5f896ddb5bec830008379dc2.jpg,non_child,16,0,0,0,1,1
boys,latino,generated_photos_5e682c6d6d3b380006dd48bb.png.jpg,non_child,14,0,1,0,0,1
boys,latino,generated_photos_5f896d025bec830008374ab2.png.jpg,non_child,16,0,1,0,0,1
boys,latino,generated_photos_5f8979fb5bec8300083c15eb.jpg,non_child,16,0,0,1,0,1
boys,white,generated_photos_5e6824996d3b380006db9f27.png.jpg,non_child,16,0,1,0,0,1
boys,white,generated_photos_5e685d056d3b380006e821ed.png.jpg,non_child,13,0,0,1,0,1
boys,white,generated_photos_5e6866026d3b380006ea27dd.png.jpg,non_child,14,0,0,1,0,1
boys,white,generated_photos_5e6875dc6d3b380006edbd99.png.jpg,non_child,14,0,1,0,0,1
boys,white,generated_photos_5e687e3f6d3b380006efae57.png.jpg,non_child,14,0,1,0,0,1
girls,asian,generated_photos_5f896ea85bec83000837ebe9.png.jpg,non_child,17,0,1,0,0,1
girls,latino,generated_photos_5e6883ec6d3b380006f0f975.png.jpg,non_child,15,0,0,1,0,1
girls,white,generated_photos_5e6830796d3b380006de2a4b.png.jpg,non_child,13,0,0,1,0,1
boys,asian,generated_photos_5e682ecf6d3b380006ddcccd.png.jpg,child,10,0,0,0,0,0
boys,asian,generated_photos_5e68534d6d3b380006e5efe1.png.jpg,child,10,0,0,0,0,0
boys,asian,generated_photos_5e686ba36d3b380006eb71ff.png.jpg,child,11,0,0,0,0,0
boys,latino,generated_photos_5e6809d16d3b380006d5a0e7.png.jpg,child,9,0,0,0,0,0
boys,latino,generated_photos_5e6824906d3b380006db9d3b.png.jpg,child,9,0,0,0,0,0
boys,latino,generated_photos_5e68306f6d3b380006de27f1.png.jpg,child,11,0,0,0,0,0
boys,latino,generated_photos_5e6833d76d3b380006dee537.png.jpg,child,12,0,0,0,0,0
boys,latino,generated_photos_5e684cf96d3b380006e482f7.png.jpg,child,10,0,0,0,0,0
boys,latino,generated_photos_5e6854356d3b380006e62483.png.jpg,child,10,0,0,0,0,0
boys,latino,generated_photos_5e6876326d3b380006edd0a7.png.jpg,child,10,0,0,0,0,0
boys,latino,generated_photos_5f18265a1f67b0000683ce6b.png.jpg,child,11,0,0,0,0,0
boys,latino,generated_photos_5f182fae1f67b00006869140.png.jpg,child,11,0,0,0,0,0
boys,white,generated_photos_5e6808ef6d3b380006d56c07.png.jpg,child,10,0,0,0,0,0
boys,white,generated_photos_5e681b016d3b380006d98d3b.png.jpg,child,12,0,0,0,0,0
boys,white,generated_photos_5e6843016d3b380006e241c9.png.jpg,child,10,0,0,0,0,0
girls,asian,generated_photos_5e68826c6d3b380006f0a285.png.jpg,child,10,0,0,0,0,0
girls,asian,generated_photos_5f18030f1f67b00006785cf7.png.jpg,child,11,0,0,0,0,0
girls,white,generated_photos_5e682a136d3b380006dcd199.png.jpg,child,10,0,0,0,0,0
girls,white,generated_photos_5e682e496d3b380006ddaf59.png.jpg,child,10,0,0,0,0,0
girls,white,generated_photos_5e6880416d3b380006f02473.png.jpg,child,9,0,0,0,0,0
boys,asian,generated_photos_5e68053f6d3b380006d49a5d.png.jpg,non_child,14,0,0,0,0,0
boys,asian,generated_photos_5e6810f36d3b380006d746ab.png.jpg,non_child,15,0,0,0,0,0
boys,asian,generated_photos_5e682d726d3b380006dd8067.png.jpg,non_child,16,0,0,0,0,0
boys,asian,generated_photos_5f1818e21f67b000067fb5db.png.jpg,non_child,16,0,0,0,0,0
boys,asian,generated_photos_5f1823d71f67b00006830ae1.png.jpg,non_child,17,0,0,0,0,0
boys,asian,generated_photos_5f18266d1f67b0000683d3cf.png.jpg,non_child,16,0,0,0,0,0
boys,asian,generated_photos_5f182bcf1f67b0000685714e.png.jpg,non_child,16,0,0,0,0,0
boys,asian,generated_photos_5f182f4c1f67b0000686762e.png.jpg,non_child,16,0,0,0,0,0
boys,black,generated_photos_5e68395e6d3b380006e0185f.png.jpg,non_child,15,0,0,0,0,0
boys,black,generated_photos_5e6861156d3b380006e90ddd.png.jpg,non_child,14,0,0,0,0,0
boys,latino,generated_photos_5e6805836d3b380006d4a95d.png.jpg,non_child,14,0,0,0,0,0
boys,latino,generated_photos_5e680c7b6d3b380006d63dc5.png.jpg,non_child,17,0,0,0,0,0
boys,latino,generated_photos_5e6828386d3b380006dc6787.png.jpg,non_child,16,0,0,0,0,0
boys,latino,generated_photos_5e685d0b6d3b380006e82345.png.jpg,non_child,16,0,0,0,0,0
boys,latino,generated_photos_5e68685e6d3b380006eab441.png.jpg,non_child,14,0,0,0,0,0
boys,latino,generated_photos_5f181b5f1f67b0000680790f.png.jpg,non_child,16,0,0,0,0,0
boys,white,14_W_M_027.jpg,non_child,13,0,0,0,0,0
boys,white,17_W_M_023.jpg,non_child,16,0,0,0,0,0
boys,white,generated_photos_5e681bdd6d3b380006d9bb41.png.jpg,non_child,13,0,0,0,0,0
boys,white,generated_photos_5e682f816d3b380006ddf441.png.jpg,non_child,13,0,0,0,0,0
boys,white,generated_photos_5e6849796d3b380006e3b943.png.jpg,non_child,16,0,0,0,0,0
boys,asian,number_10_generated_photos_5f182f101f67b000068665ae.jpg,child,13,0,1,2,0,3
boys,asian,number_5_generated_photos_5e685af36d3b380006e7aa63.jpg,child,9,0,0,2,1,3
boys,black,number_14_generated_photos_5e682f276d3b380006dde04d.jpg,child,10,0,3,1,0,4
boys,black,number_16_generated_photos_5f18181c1f67b000067f74a7.jpg,child,13,0,2,2,0,4
boys,black,number_17_generated_photos_5f8983d15bec8300083f9c2e.jpg,child,13,0,5,3,0,8
boys,black,number_19_generated_photos_5f8982b25bec8300083f2ef9.jpg,child,11,0,3,1,0,4
boys,black,number_30_generated_photos_5e6820086d3b380006daa04b.jpg,child,10,0,4,2,2,8
boys,black,number_31_generated_photos_5e68224c6d3b380006db1f3b_edited_d.jpg,child,11,2,1,1,1,5
boys,black,number_32_generated_photos_5e6829cd6d3b380006dcc2cb.jpg,child,11,1,1,0,1,3
boys,black,number_36_generated_photos_5f1826491f67b0000683c8dd.jpg,child,14,0,1,3,0,4
boys,white,number_55_generated_photos_5e6821656d3b380006daec4d.jpg,child,13,0,3,1,0,4
boys,white,number_57_648f12bdb13064000d5fcb81.jpg,child,9,0,3,2,0,5
boys,white,number_58_648f16e3b130645170574b37.jpg,child,9,2,1,2,0,5
boys,white,number_63_generated_photos_5e6888ef6d3b380006f21e87.jpg,child,12,0,2,1,0,3
girls,asian,number_68_648f3642b13064000d5fcfb6.jpg,child,10,0,1,2,0,3
girls,asian,number_69_photo-by-face-generator_644b0f24549bee0009086a5a.jpg,child,11,1,4,1,0,6
girls,asian,number_70_generated_photos_5e68198e6d3b380006d93f15.jpg,child,12,0,4,2,0,6
girls,asian,number_71_generated_photos_5e681aa46d3b380006d979ad.jpg,child,10,0,2,2,2,6
girls,asian,number_72_648f3cb4b130645170574eb3.jpg,child,9,0,2,2,0,4
girls,asian,number_73_generated_photos_5e6822986d3b380006db3029.jpg,child,8,0,2,3,0,5
girls,asian,number_74_generated_photos_5e68285d6d3b380006dc6fcb.jpg,child,13,0,2,4,0,6
girls,asian,number_75_generated_photos_5e6838636d3b380006dfe219.jpg,child,13,0,1,2,0,3
girls,asian,number_76_generated_photos_5e684e626d3b380006e4d44f.jpg,child,13,0,3,4,0,7
girls,asian,number_78_generated_photos_5e68600f6d3b380006e8d2f5.jpg,child,12,0,1,2,0,3
girls,asian,number_80_generated_photos_5f182aa81f67b00006851a9f.jpg,child,13,0,2,3,0,5
girls,black,number_100_generated_photos_5f896f9d5bec830008384739.jpg,child,10,0,3,3,0,6
girls,black,number_101_generated_photos_5e6805496d3b380006d49c99.jpg,child,11,0,2,1,0,3
girls,black,number_104_generated_photos_5e6816d06d3b380006d8a05d.jpg,child,12,2,1,2,0,5
girls,black,number_81_generated_photos_5f89701d5bec830008387667.jpg,child,12,0,2,2,1,5
girls,black,number_82_5e685a226d3b380006e77bd3.jpg,child,11,0,1,2,0,3
girls,black,number_83_generated_photos_5e686dbc6d3b380006ebeb6f.jpg,child,11,1,1,3,0,5
girls,black,number_84_generated_photos_5e687f2c6d3b380006efe527.jpg,child,11,0,2,2,1,5
girls,black,number_85_6494dfefb13064000d609927.jpg,child,9,0,3,2,1,6
girls,black,number_86_generated_photos_5f8982765bec8300083f1849.jpg,child,10,0,3,2,1,6
girls,black,number_87_generated_photos_5e6858936d3b380006e722bb.jpg,child,11,0,2,2,0,4
girls,black,number_88_generated_photos_5e6883156d3b380006f0c8bf.jpg,child,10,0,1,2,0,3
girls,black,number_89_649701c4b130640007605d0a.jpg,child,10,1,4,2,0,7
girls,black,number_90_generated_photos_5f897ba05bec8300083cb1be.jpg,child,12,0,6,2,0,8
girls,black,number_91_generated_photos_5e687a656d3b380006eec779.jpg,child,10,0,2,3,0,5
girls,black,number_93_generated_photos_5e687f686d3b380006eff2e5.jpg,child,12,0,4,2,0,6
girls,black,number_94_64972241b13064000d60d539.jpg,child,11,0,1,2,0,3
girls,black,number_96_generated_photos_5e6824606d3b380006db9319.jpg,child,9,0,1,3,0,4
girls,black,number_99_generated_photos_5f896ee85bec8300083803ef.jpg,child,11,1,0,4,1,6
girls,latino,number_106_generated_photos_5e680b106d3b380006d5ea79.jpg,child,11,0,1,3,0,4
girls,latino,number_108_generated_photos_5e6886e66d3b380006f1a7e9.jpg,child,10,0,3,5,0,8
girls,latino,number_110_generated_photos_5e68404f6d3b380006e1a589.jpg,child,8,0,1,4,0,5
girls,latino,number_111_generated_photos_5e68276e6d3b380006dc3b19.jpg,child,12,0,1,2,0,3
girls,latino,number_112_generated_photos_5e6808eb6d3b380006d56b1f.jpg,child,10,0,1,3,0,4
girls,latino,number_113_generated_photos_5e687b106d3b380006eeefd9.jpg,child,11,0,1,3,0,4
girls,latino,number_115_generated_photos_5e6811eb6d3b380006d77fff.jpg,child,11,0,2,2,0,4
girls,latino,number_116_generated_photos_5e685e8b6d3b380006e87ab3.jpg,child,11,1,3,3,1,8
girls,latino,number_118_generated_photos_5e6818b56d3b380006d9110d.jpg,child,10,0,2,2,0,4
girls,latino,number_122_649aa083b1306400096159f9.jpg,child,9,0,1,2,0,3
girls,latino,number_123_generated_photos_5e681ff36d3b380006da9b6f.jpg,child,10,0,3,3,1,7
girls,latino,number_124_generated_photos_5e682d686d3b380006dd7e37.jpg,child,11,0,1,2,0,3
girls,white,number_125_generated_photos_5e6883f06d3b380006f0fa67.jpg,child,10,0,0,3,0,3
girls,white,number_126_generated_photos_5e680b056d3b380006d5e7e9.jpg,child,10,0,1,2,0,3
girls,white,number_127_generated_photos_5e6883c36d3b380006f0f045.jpg,child,9,0,2,1,0,3
girls,white,number_128_generated_photos_5e6828f86d3b380006dc92f9.jpg,child,9,0,1,3,1,5
girls,white,number_129_649abb72b13064000760c5d5.jpg,child,11,0,1,3,0,4
girls,white,number_130_generated_photos_5e68789a6d3b380006ee5d43.jpg,child,12,0,3,3,0,6
girls,white,number_136_generated_photos_5e680fd86d3b380006d704b9.jpg,child,10,0,3,2,0,5
girls,white,number_137_generated_photos_5e6805246d3b380006d494a5.jpg,child,10,0,3,4,2,9
girls,white,number_138_generated_photos_5e6831be6d3b380006de71e1.jpg,child,9,0,4,4,0,8
girls,white,number_139_generated_photos_5e6884816d3b380006f11b41.jpg,child,10,1,3,3,0,7
girls,white,number_140_generated_photos_5e684c7e6d3b380006e4673b.jpg,child,10,0,2,3,1,6
girls,white,numbere_135_generated_photos_5e6806ac6d3b380006d4ea47.jpg,child,10,0,3,3,0,6
boys,asian,nuumber_141_649e6b5eb13064000961e8b9.jpg,non_child,19,0,0,4,0,4
boys,black,number_151_generated_photos_5f896bc45bec83000836cfa9.jpg,non_child,12,0,1,2,0,3
boys,black,number_152_generated_photos_5f897cae5bec8300083d1551.jpg,non_child,14,0,3,2,0,5
boys,black,number_155_649eb198b13064000961f425.jpg,non_child,14,0,2,2,1,5
boys,black,number_162_649eec9cb13064000961ffa3.jpg,non_child,15,1,1,0,1,3
boys,latino,number_179_18_W_M_002.jpg,non_child,15,0,3,4,0,7
boys,white,number_182_generated_photos_5e6833366d3b380006dec34b.jpg,non_child,16,0,3,0,0,3
boys,white,number_183_generated_photos_5e68614b6d3b380006e919dd.jpg,non_child,15,0,2,1,0,3
girls,asian,number_190_generated_photos_5e6820466d3b380006daae0b.jpg,non_child,14,0,1,2,0,3
girls,asian,number_191_generated_photos_5f897cbe5bec8300083d1aac.jpg,non_child,15,0,2,1,0,3
girls,asian,number_192_generated_photos_5f1815011f67b000067e6f05.jpg,non_child,17,0,4,1,0,5
girls,asian,number_193_generated_photos_5f1822561f67b00006829527.jpg,non_child,18,0,2,2,0,4
girls,asian,number_194_generated_photos_5f18153a1f67b000067e82f4.jpg,non_child,20,0,2,5,0,7
girls,asian,number_195_generated_photos_5f897dd45bec8300083d7c4a.jpg,non_child,24,1,2,3,0,6
girls,asian,number_196_generated_photos_5f1836711f67b00006887c7a.jpg,non_child,18,0,2,1,0,3
girls,asian,number_198_generated_photos_5f1805461f67b00006791aba.jpg,non_child,22,0,3,2,0,5
girls,asian,number_199_generated_photos_5f1804cd1f67b0000678f360.jpg,non_child,21,0,5,2,0,7
girls,asian,number_200_generated_photos_5e686b376d3b380006eb59b7.jpg,non_child,17,0,3,1,0,4
girls,asian,number_201_generated_photos_5f1811ff1f67b000067d69bf.jpg,non_child,17,0,2,2,0,4
girls,asian,number_202_generated_photos_5e685cf26d3b380006e81d73.jpg,non_child,17,2,2,3,0,7
girls,asian,number_203_generated_photos_5f1811f71f67b000067d6728.jpg,non_child,17,0,3,1,0,4
girls,asian,number_204_generated_photos_5f8982b25bec8300083f2f20.jpg,non_child,14,0,4,1,0,5
