,image_name,door_or_face,image_type,gender,type,pct_endorsed_child,pct_endorsed_singledoor,general_dprime,highconfidence_treshold_dprime,highconfidence_subset_dprime,age_group,age_rating,ISSUES_lookingforwardsmiling,ISSUES_lookfake,ISSUES_standout,ISSUES_duplicate,ISSUES_SUM,door0_or_face1,distance,weights,subclass,use
36,BD_195.jpg,door,single_red,single,red,NA,1,0.095417068,-1.850225927,-0.637986362,NA,NA,NA,NA,NA,NA,NA,0,0.413753072,1,34,task
37,AD_013.jpg,door,single_white,single,white,NA,1,0.17190726,-2.007603701,-0.223349441,NA,NA,NA,NA,NA,NA,NA,0,0.307905478,1,24,task
38,BD_149_cropped.jpg,door,single_white,single,white,NA,0.95,0.657167219,-0.654915712,0.941886737,NA,NA,NA,NA,NA,NA,NA,0,0.383714762,1,12,task
39,edited_SD_EN_01.jpg,door,single_white,single,white,NA,0.863636364,0.427839846,-1.859451884,-0.104633456,NA,NA,NA,NA,NA,NA,NA,0,0.276907039,1,23,task
40,AD_024.jpg,door,single_yellow,single,yellow,NA,1,0.047768961,-1.329157714,0.25965912,NA,NA,NA,NA,NA,NA,NA,0,0.440410717,1,4,task
41,BD_147.jpg,door,single_yellow,single,yellow,NA,1,0.319239306,-2.443558384,-0.578087234,NA,NA,NA,NA,NA,NA,NA,0,0.228576742,1,2,task
42,BD_203_cropped.jpg,door,single_yellow,single,yellow,NA,1,0.318639364,-1.507259519,0.602183612,NA,NA,NA,NA,NA,NA,NA,0,0.295782724,1,28,task
43,number_64_648f221eb13064000d5fcd9e.jpg,face,girls_asian,girls,asian,0.909090909,NA,0.637816059,-1.509698572,0.729835874,child,8,0,0,2,0,2,1,0.224372653,1,22,task
,FF024,,,,,,,,,,,,,,,,,,,,,
44,generated_photos_5e68826c6d3b380006f0a285.png.jpg,face,girls_asian,girls,asian,0.863636364,NA,0.522123524,-1.385333504,0.392273603,child,10,0,0,0,0,0,1,0.306150408,1,24,task
,FF007,,,,,,,,,,,,,,,,,,,,,
