image_name,door_or_face,image_type,gender,type,pct_endorsed_child,pct_endorsed_singledoor,general_dprime,highconfidence_treshold_dprime,highconfidence_subset_dprime,age_group,age_rating,ISSUES_lookingforwardsmiling,ISSUES_lookfake,ISSUES_standout,ISSUES_duplicate,ISSUES_SUM
number_235_generated_photos_5f896cc45bec8300083732852.jpg,face,girls_black,girls,black,0.111111111,NA,-0.089440906,-0.7612004,0.538575941,non_child,20,1,0,3,0,4
number_237_generated_photos_5e011e9f7b1b30000707e98f.jpg_fixed.jpg,face,girls_black,girls,black,0.055555556,NA,0.289623537,-0.531141102,0.70999123,non_child,16,0,2,2,0,4
number_238_generated_photos_5e6807736d3b380006d515eb.jpg,face,girls_black,girls,black,0.142857143,NA,-0.141927075,-1.875217115,0.437316982,non_child,15,0,0,1,0,1
number_24_generated_photos_5e6881196d3b380006f05583.jpg,face,boys_black,boys,black,0.875,NA,0.287854988,-1.90739464,-0.494632445,child,9,0,1,0,0,1
number_243_generated_photos_5e685af96d3b380006e7abc12.jpg,face,girls_latino,girls,latino,0.454545455,NA,-0.298040068,-1.171690321,0.280687011,non_child,14,0,0,0,0,0
number_245_generated_photos_5f896dae5bec830008378d78.jpg,face,girls_latino,girls,latino,0.125,NA,0.134857346,-1.287218387,-0.073368845,non_child,17,0,1,1,0,2
number_246_generated_photos_5e6847d46d3b380006e357af_2_2222.jpg,face,girls_latino,girls,latino,0.260869565,NA,0.34240209,-1.293870811,0.125748046,non_child,15,0,2,0,0,2
number_247_generated_photos_5f1822e21f67b0000682bfff2.jpg_fixed.jpg,face,girls_latino,girls,latino,0.222222222,NA,0.541664061,-1.676334556,0.020579194,non_child,15,0,1,2,0,3
number_248_generated_photos_5e6852e96d3b380006e5d965_2.jpg,face,girls_latino,girls,latino,0.25,NA,0.037005589,-2.17796229,-0.747858595,non_child,16,0,2,0,0,2
number_25_generated_photos_5f181a5d1f67b00006802e0c.jpg,face,boys_black,boys,black,0.761904762,NA,-0.141927075,-2.269561752,-0.497687155,child,12,0,1,0,0,1
number_252_generated_photos_5f8983a95bec8300083f8cd4.jpg,face,girls_latino,girls,latino,0.055555556,NA,0.002847149,-2.089043487,-0.305164954,non_child,17,0,1,1,0,2
