onset	duration	trial_type	rt	resp	selection	gender	image	image_type
0.0	1.0	ISI	n/a	n/a	n/a	n/a	n/a	n/a
1.0201745000085793	2.751128999982029	decision_monetary	1.2911558999912813	9	recall_win	D	DD019.jpg	blue
3.771595600002911	3.261495599988848	ISI	n/a	n/a	n/a	D	DD019.jpg	blue
7.037101399968378	2.7509617000469007	decision_monetary	2.2402424000320025	9	recall_win	S	SD031.jpg	red
9.788440499978606	1.2613082000170834	ISI	n/a	n/a	n/a	S	SD031.jpg	red
11.053179499984253	2.75100950000342	decision_monetary	0.7573554000118747	3	predict_loss	S	SD014.jpg	black
13.804492199968081	1.0120801000157371	ISI	n/a	n/a	n/a	S	SD014.jpg	black
14.820030600007158	2.751295999973081	decision_monetary	0.9413456000038423	9	recall_win	S	SD004.jpg	white
17.571618999994826	3.011467900010757	ISI	n/a	n/a	n/a	S	SD004.jpg	white
20.58661790000042	2.7513348999782465	decision_monetary	2.0408208000008017	9	recall_win	S	SD022.jpg	red
23.33825779997278	1.0119728000136092	ISI	n/a	n/a	n/a	S	SD022.jpg	red
24.354002200008836	2.7519379999721423	decision_monetary	1.8243581000133418	9	recall_win	S	SD021.jpg	blue
27.10624170000665	2.0102880999911577	ISI	n/a	n/a	n/a	S	SD021.jpg	blue
29.119944999984	2.751224600011483	decision_monetary	1.189956300018821	2	predict_win	D	DD008.jpg	blue
31.871486200019717	2.5115313999704085	ISI	n/a	n/a	n/a	D	DD008.jpg	blue
34.38647389999824	2.751525799976662	decision_monetary	0.7749531000154093	3	predict_loss	D	DD010.jpg	green
37.13831900001969	2.7614037999883294	ISI	n/a	n/a	n/a	D	DD010.jpg	green
39.90326809999533	2.7518304000259377	decision_monetary	0.823922700015828	9	recall_win	S	SD023.jpg	blue
42.65540109999711	5.011373199988157	ISI	n/a	n/a	n/a	S	SD023.jpg	blue
47.67036089999601	2.7514058999950066	decision_monetary	1.4730238000047393	9	recall_win	D	DD005.jpg	brown
50.422074000001885	5.761002900020685	ISI	n/a	n/a	n/a	D	DD005.jpg	brown
56.1875343999709	2.7513345000334084	decision_monetary	1.4232287000049837	9	recall_win	D	DD035.jpg	brown
58.93921280000359	1.0104526999639347	ISI	n/a	n/a	n/a	D	DD035.jpg	brown
59.95320729998639	2.7517689000233077	decision_monetary	1.557116899988614	4	predict_neutral	D	DD033.jpg	red
62.70528669998748	1.0111671999911778	ISI	n/a	n/a	n/a	D	DD033.jpg	red
63.719986899988726	2.7629742000135593	decision_monetary_MISSED	missed	missed	missed	D	DD012.jpg	brown
66.48323010001332	2.0018897999543697	ISI	0.18373089999658987	9	recall_win	D	DD012.jpg	brown
68.4886982999742	2.7513098000199534	decision_monetary	0.6558014000183903	9	recall_win	D	DD015.jpg	blue
71.24032280000392	6.25933679996524	ISI	n/a	n/a	n/a	D	DD015.jpg	blue
77.5030897000106	2.751800199970603	decision_monetary	0.9422761999885552	4	predict_neutral	D	DD018.jpg	brown
80.25521129998378	1.511174299987033	ISI	n/a	n/a	n/a	D	DD018.jpg	brown
81.77016169996932	2.752139900054317	decision_monetary	0.6910917000495829	9	recall_win	S	SD038.jpg	brown
84.52260849997401	1.2604307000292465	ISI	n/a	n/a	n/a	S	SD038.jpg	brown
85.78659259999404	2.7503243000246584	decision_monetary	0.5743123000138439	3	predict_loss	D	DD013.jpg	brown
88.53723239997635	1.2624161000130698	ISI	n/a	n/a	n/a	D	DD013.jpg	brown
89.80333329999121	2.750683000020217	decision_monetary	0.6076904999790713	9	recall_win	D	DD009.jpg	white
92.55435440002475	1.512140799954068	ISI	n/a	n/a	n/a	D	DD009.jpg	white
94.07046879996778	2.7507058000192046	decision_monetary	0.5573943000053987	3	predict_loss	S	SD002.jpg	purple
96.82150369998999	2.0113250000285916	ISI	n/a	n/a	n/a	S	SD002.jpg	purple
98.83656009996776	2.7513206000439823	decision_monetary	1.1913679000572301	4	predict_neutral	D	DD027.jpg	blue
101.5881984999869	3.7614221000112593	ISI	n/a	n/a	n/a	D	DD027.jpg	blue
105.35328679997474	2.7506113999988884	decision_monetary	1.408058900036849	7	recall_neutral	D	DD034.jpg	purple
108.10421790002147	2.011971400002949	ISI	n/a	n/a	n/a	D	DD034.jpg	purple
110.12008929997683	2.7515395000227727	decision_monetary	0.6231655000010505	2	predict_win	D	DD024.jpg	white
112.8719565999927	3.0109265000210144	ISI	n/a	n/a	n/a	D	DD024.jpg	white
115.88666820002254	2.751376000000164	decision_monetary	1.2237010999815539	9	recall_win	S	SD013.jpg	blue
118.63836699997773	2.261235000041779	ISI	n/a	n/a	n/a	S	SD013.jpg	blue
120.90342849999433	2.751850900007412	decision_monetary	0.6579279000288807	2	predict_win	D	DD037.jpg	brown
123.65559739997843	2.5106095999944955	ISI	n/a	n/a	n/a	D	DD037.jpg	brown
126.1698703999864	2.7514542000135407	decision_monetary	0.707648399984464	4	predict_neutral	S	SD034.jpg	red
128.92164780001622	1.2611324999597855	ISI	n/a	n/a	n/a	S	SD034.jpg	red
130.18650319997687	2.7513484000228345	decision_monetary	0.9405455000232905	9	recall_win	D	DD029.jpg	brown
132.93818779999856	5.761406800011173	ISI	n/a	n/a	n/a	D	DD029.jpg	brown
138.70329049997963	2.7516237000236288	decision_monetary	0.9560970999882556	2	predict_win	D	DD007.jpg	blue
141.4552442000131	3.7609635000117123	ISI	n/a	n/a	n/a	D	DD007.jpg	blue
145.21993700001622	2.7505328999832273	decision_monetary	0.5912969000055455	9	recall_win	D	DD020.jpg	brown
147.97079629998188	5.512108399998397	ISI	n/a	n/a	n/a	D	DD020.jpg	brown
153.48671550001018	2.7512949999654666	decision_monetary	0.6895393999875523	7	recall_neutral	D	DD039.jpg	white
156.23834939999506	2.7613759000087157	ISI	n/a	n/a	n/a	D	DD039.jpg	white
159.00352789997123	2.750737000023946	decision_monetary	0.6569189000292681	3	predict_loss	D	DD014.jpg	green
161.75460260000546	2.0115869999863207	ISI	n/a	n/a	n/a	D	DD014.jpg	green
163.76991969998926	2.751074400031939	decision_monetary	0.8897096000146121	7	recall_neutral	S	SD020.jpg	green
166.52131989999907	3.2613770000170916	ISI	n/a	n/a	n/a	S	SD020.jpg	green
169.78644360002363	2.7514472999610007	decision_monetary	1.240827699948568	8	recall_loss	S	SD015.jpg	yellow
172.5382275999873	1.0112889999873005	ISI	n/a	n/a	n/a	S	SD015.jpg	yellow
173.55321530002402	2.750731399981305	decision_monetary	0.7070241999463178	9	recall_win	D	DD003.jpg	green
176.3042794999783	1.26186540001072	ISI	n/a	n/a	n/a	D	DD003.jpg	green
177.56991879997076	2.751235000032466	decision_monetary	0.5901170000433922	3	predict_loss	S	SD024.jpg	blue
180.32148589997087	1.2611571000306867	ISI	n/a	n/a	n/a	S	SD024.jpg	blue
181.58638960000826	2.7502268999814987	decision_monetary	2.2913910999777727	9	recall_win	S	SD032.jpg	purple
184.33695079997415	3.0124696000129916	ISI	n/a	n/a	n/a	S	SD032.jpg	purple
187.3531419999781	2.7517600000137463	decision_monetary	0.657183300005272	2	predict_win	D	DD016.jpg	brown
190.10526450001635	2.7606829999713227	ISI	n/a	n/a	n/a	D	DD016.jpg	brown
192.86967919999734	2.7504530000151135	decision_monetary	0.5236060000024736	7	recall_neutral	D	DD026.jpg	white
195.62046559998998	1.5126493999850936	ISI	n/a	n/a	n/a	D	DD026.jpg	white
197.13698609999847	2.7519978000200354	decision_monetary	1.1743484999751672	4	predict_neutral	S	SD030.jpg	red
199.88933229999384	2.5100790000287816	ISI	n/a	n/a	n/a	S	SD030.jpg	red
202.40318660001503	2.7503074999549426	decision_monetary	0.6570673999958672	2	predict_win	D	DD030.jpg	brown
205.15382619999582	1.5121801000204869	ISI	n/a	n/a	n/a	D	DD030.jpg	brown
206.66968659998383	2.7516366000054404	decision_monetary	0.8415721000055782	9	recall_win	S	SD010.jpg	yellow
209.42165660002502	1.760953499993775	ISI	n/a	n/a	n/a	S	SD010.jpg	yellow
211.18640419997973	2.7504107000422664	decision_monetary	0.6739022000110708	3	predict_loss	S	SD042.jpg	purple
