onset	duration	trial_type	rt	resp	selection	gender	image	image_type
0.0	1.0	ISI	n/a	n/a	n/a	n/a	n/a	n/a
1.0200333999237046	2.751118400017731	decision_monetary	1.4567993000382558	3	predict_loss	D	DD015.jpg	blue
3.7714514000108466	2.5114597999490798	ISI	n/a	n/a	n/a	D	DD015.jpg	blue
6.286376699921675	2.751425900030881	decision_monetary	1.341820500092581	2	predict_win	D	DD041.jpg	brown
9.03812729998026	2.5116536000277847	ISI	n/a	n/a	n/a	D	DD041.jpg	brown
11.553149799932726	2.7515796000370756	decision_monetary	1.2419738000025973	3	predict_loss	D	DD024.jpg	white
14.305048999958672	6.261400099960156	ISI	n/a	n/a	n/a	D	DD024.jpg	white
20.569782699923962	2.7514855000190437	decision_monetary	1.2243250000756234	3	predict_loss	D	DD030.jpg	brown
23.321579599985853	3.761534499935806	ISI	n/a	n/a	n/a	D	DD030.jpg	brown
27.086532299988903	2.750305199995637	decision_monetary	1.074521900038235	4	predict_neutral	D	DD025.jpg	brown
29.837144499993883	1.5125123999314383	ISI	n/a	n/a	n/a	D	DD025.jpg	brown
31.35317000001669	2.751964999944903	decision_monetary	1.4241810999810696	2	predict_win	D	DD012.jpg	brown
34.10543619992677	6.510951300035231	ISI	n/a	n/a	n/a	D	DD012.jpg	brown
40.61982819996774	2.751315000001341	decision_monetary	1.8404433999676257	2	predict_win	D	DD021.jpg	red
43.37146039993968	6.5115831000730395	ISI	n/a	n/a	n/a	D	DD021.jpg	red
49.88666620000731	2.751295099966228	decision_monetary	1.38983349991031	4	predict_neutral	D	DD019.jpg	blue
52.63827809994109	6.26138899999205	ISI	n/a	n/a	n/a	D	DD019.jpg	blue
58.90347179991659	2.7523110000183806	decision_monetary	1.6903179000364617	2	predict_win	S	SD010.jpg	yellow
61.656095499987714	2.2601632999721915	ISI	n/a	n/a	n/a	S	SD010.jpg	yellow
63.91973229998257	2.750336099998094	decision_monetary	0.973883599974215	4	predict_neutral	D	DD017.jpg	red
66.67037339997478	3.0126052000559866	ISI	n/a	n/a	n/a	D	DD017.jpg	red
69.68634769995697	2.7507652000058442	decision_monetary	2.0743664000183344	2	predict_win	S	SD021.jpg	blue
72.43758679996245	1.5119491000659764	ISI	n/a	n/a	n/a	S	SD021.jpg	blue
73.95301860000473	2.7520849999273196	decision_monetary	2.3580463000107557	7	recall_neutral	D	DD027.jpg	blue
76.70542040001601	4.0108573999023065	ISI	n/a	n/a	n/a	D	DD027.jpg	blue
80.71973619994242	2.7519990000873804	decision_monetary	1.7749695000238717	9	recall_win	S	SD015.jpg	yellow
83.47204519994557	5.760836499975994	ISI	n/a	n/a	n/a	S	SD015.jpg	yellow
89.23637559998315	2.75039800000377	decision_monetary	1.5736568999709561	4	predict_neutral	S	SD024.jpg	blue
91.98709059995599	1.0123897000448778	ISI	n/a	n/a	n/a	S	SD024.jpg	blue
93.00298500002827	2.751089599914849	decision_monetary	1.858158899936825	2	predict_win	D	DD006.jpg	brown
95.75439609994646	3.261829400085844	ISI	n/a	n/a	n/a	D	DD006.jpg	brown
99.0197411000263	2.751355899963528	decision_monetary	1.7573020999552682	2	predict_win	S	SD027.jpg	green
101.77142320002895	1.2614592999452725	ISI	n/a	n/a	n/a	S	SD027.jpg	green
103.03641229995992	2.7504976000636816	decision_monetary	0.8247525000479072	4	predict_neutral	D	DD031.jpg	pink
105.78723120002542	1.0120770999928936	ISI	n/a	n/a	n/a	D	DD031.jpg	pink
106.80285189999267	2.7503587999381125	decision_monetary	2.174298799945973	2	predict_win	S	SD019.jpg	brown
109.55353699997067	1.0126667000586167	ISI	n/a	n/a	n/a	S	SD019.jpg	brown
110.56987399992067	2.75161720009055	decision_monetary	1.8732841000892222	9	recall_win	D	DD023.jpg	blue
113.32180929998867	2.7610409000189975	ISI	n/a	n/a	n/a	D	DD023.jpg	blue
116.08636479999404	2.7502447000006214	decision_monetary	1.4416015000315383	7	recall_neutral	S	SD009.jpg	blue
118.83693669992499	3.012505099992268	ISI	n/a	n/a	n/a	S	SD009.jpg	blue
121.85306979995221	2.773721900070086	decision_monetary	2.773498800001107	2	predict_win	S	SD037.jpg	red
124.62707089993637	3.7556678000837564	ISI	n/a	n/a	n/a	S	SD037.jpg	red
