onset	duration	trial_type	rt	resp	selection	gender	image	image_type
0.0	1.0	ISI	n/a	n/a	n/a	n/a	n/a	n/a
1.0194002999924123	3.098259200109169	decision_social	3.0979778999462724	7	predict_neutral	M	MF042.jpg	asian
4.117933100089431	6.515421299962327	ISI	n/a	n/a	n/a	M	MF042.jpg	asian
10.636912900023162	2.7632810999639332	decision_social_MISSED	missed	missed	missed	M	MF016.jpg	asian
13.400453800102696	2.250277499901131	ISI	0.18390199984423816	9	predict_win	M	MF016.jpg	asian
15.65410210005939	2.751117399893701	decision_social	1.6968876000028104	4	recall_neutral	F	FF024.jpg	asian
18.405523400055245	1.261170299956575	ISI	n/a	n/a	n/a	F	FF024.jpg	asian
19.67014400009066	2.751323699951172	decision_social	2.4983571998309344	7	predict_neutral	M	MF040.jpg	asian
22.42176440008916	2.0114852997940034	ISI	n/a	n/a	n/a	M	MF040.jpg	asian
24.436616099905223	2.7515400999691337	decision_social	2.0968216999899596	2	recall_win	F	FF011.jpg	white
27.18845729995519	1.5115847999695688	ISI	n/a	n/a	n/a	F	FF011.jpg	white
28.703455100068823	2.7510785998310894	decision_social	1.5301276999525726	2	recall_win	M	MF012.jpg	black
31.454836699878797	6.011854400159791	ISI	n/a	n/a	n/a	M	MF012.jpg	black
37.47003989992663	2.751145099988207	decision_social	1.8475357999559492	8	predict_loss	M	MF025.jpg	white
40.2215185998939	2.7616801001131535	ISI	n/a	n/a	n/a	M	MF025.jpg	white
42.986544399987906	2.752289100084454	decision_social	2.4969723999965936	2	recall_win	F	FF030.jpg	white
45.739127200096846	3.0108164998237044	ISI	n/a	n/a	n/a	F	FF030.jpg	white
48.753412999911234	2.7522903999779373	decision_social	2.7313233001623303	7	predict_neutral	F	FF029.jpg	asian
51.50597910000943	3.260576399974525	ISI	n/a	n/a	n/a	F	FF029.jpg	asian
54.77011750009842	2.752253299811855	decision_social	2.5142033000010997	4	recall_neutral	F	FF042.jpg	white
57.522677700035274	1.7604706999845803	ISI	n/a	n/a	n/a	F	FF042.jpg	white
59.286638600053266	2.751077099936083	decision_social	1.9136512998957187	2	recall_win	M	MF027.jpg	white
62.0380241998937	1.0119392001070082	ISI	n/a	n/a	n/a	M	MF027.jpg	white
63.05343410000205	2.7512238998897374	decision_social	1.6140185000840575	2	recall_win	F	FF006.jpg	asian
65.80497639998794	1.2616095000412315	ISI	n/a	n/a	n/a	F	FF006.jpg	asian
67.07004670007154	2.7511813999153674	decision_social	2.314589399844408	2	recall_win	F	FF003.jpg	black
69.82153659989126	1.2615774001460522	ISI	n/a	n/a	n/a	F	FF003.jpg	black
71.0865362000186	2.751868800027296	decision_social	1.9148029999341816	9	predict_win	M	MF039.jpg	black
73.83871469995938	2.5111777000129223	ISI	n/a	n/a	n/a	M	MF039.jpg	black
76.3533489999827	2.751026500016451	decision_social	1.6982493000105023	2	recall_win	F	FF031.jpg	latino
79.1046857999172	3.0119444001466036	ISI	n/a	n/a	n/a	F	FF031.jpg	latino
82.12017069989815	2.750965000130236	decision_social	1.6811306001618505	2	recall_win	F	FF002.jpg	black
84.87144750007428	5.511702899821103	ISI	n/a	n/a	n/a	F	FF002.jpg	black
90.3866045998875	2.7506467001512647	decision_social	2.6637790000531822	2	recall_win	M	MF007.jpg	asian
93.13754600007087	6.512301699956879	ISI	n/a	n/a	n/a	M	MF007.jpg	asian
99.65335200005211	2.751321699935943	decision_social	2.5469488999806345	9	predict_win	F	FF007.jpg	asian
102.40498759993352	2.5113848000764847	ISI	n/a	n/a	n/a	F	FF007.jpg	asian
104.92000250006095	2.751421900000423	decision_social	2.280284399865195	7	predict_neutral	M	MF006.jpg	black
