onset	duration	trial_type	rt	resp	selection	gender	image	image_type
0.0	1.0	ISI	n/a	n/a	n/a	n/a	n/a	n/a
1.0189370000734925	2.751914400025271	decision_social	1.7418404999189079	8	recall_loss	F	FF005.jpg	white
3.7711612000130117	1.0118728000670671	ISI	n/a	n/a	n/a	F	FF005.jpg	white
4.786415100097656	2.7506543999770656	decision_social	1.2244347999803722	3	predict_loss	F	FF022.jpg	latino
7.537371700047515	1.512267200043425	ISI	n/a	n/a	n/a	F	FF022.jpg	latino
9.052952800062485	2.7509638000046834	decision_social	1.4417541000293568	9	recall_win	F	FF037.jpg	latino
11.804216500022449	2.012059499975294	ISI	n/a	n/a	n/a	F	FF037.jpg	latino
13.819661100045778	2.7506756000220776	decision_social	1.4240656000329182	8	recall_loss	M	MF031.jpg	latino
16.57064100005664	3.7623665999853984	ISI	n/a	n/a	n/a	M	MF031.jpg	latino
20.336488700006157	2.750619300059043	decision_social	2.27406800002791	4	predict_neutral	M	MF042.jpg	asian
23.08742560003884	1.0120701000560075	ISI	n/a	n/a	n/a	M	MF042.jpg	asian
24.103103100089356	2.7518148999661207	decision_social	0.9065702999942005	4	predict_neutral	F	FF024.jpg	asian
26.855226100073196	4.760920699918643	ISI	n/a	n/a	n/a	F	FF024.jpg	asian
31.619744700030424	2.7508195999544114	decision_social	1.9244514000602067	9	recall_win	M	MF013.jpg	latino
34.370874600019306	3.0122329000150785	ISI	n/a	n/a	n/a	M	MF013.jpg	latino
37.38669710000977	2.7509486000053585	decision_social	1.4569745999760926	3	predict_loss	F	FF013.jpg	white
40.13795320002828	2.5115748000098392	ISI	n/a	n/a	n/a	F	FF013.jpg	white
42.65297699999064	2.751358300098218	decision_social	1.607751600095071	9	recall_win	M	MF021.jpg	black
45.40464660001453	1.261476300074719	ISI	n/a	n/a	n/a	M	MF021.jpg	black
46.66954660008196	2.7520925999851897	decision_social	0.9901382999960333	9	recall_win	M	MF033.jpg	white
49.42194870009553	6.510906899929978	ISI	n/a	n/a	n/a	M	MF033.jpg	white
55.93629059998784	2.7518376000225544	decision_social	1.32339250005316	3	predict_loss	M	MF022.jpg	latino
58.688443900085986	5.7610206999816	ISI	n/a	n/a	n/a	M	MF022.jpg	latino
64.4529452000279	2.750512000056915	decision_social	1.3073455999838188	3	predict_loss	F	FF007.jpg	asian
67.2038236000808	1.0122458999976516	ISI	n/a	n/a	n/a	F	FF007.jpg	asian
68.2195663000457	2.7521792999468744	decision_social	1.3239105000393465	9	recall_win	F	FF010.jpg	white
70.97206150006969	2.0107412999495864	ISI	n/a	n/a	n/a	F	FF010.jpg	white
72.98625940002967	2.7505207000067458	decision_social	1.3574112000642344	3	predict_loss	F	FF042.jpg	white
75.73710500006564	2.0123707000166178	ISI	n/a	n/a	n/a	F	FF042.jpg	white
77.75293290009722	2.7507997999200597	decision_social	1.9747776999138296	8	recall_loss	F	FF027.jpg	latino
80.50404010002967	3.0120915999868885	ISI	n/a	n/a	n/a	F	FF027.jpg	latino
83.51969600003213	2.7510774000547826	decision_social	1.8581236000172794	9	recall_win	F	FF008.jpg	black
86.27110210002866	1.0116972000105307	ISI	n/a	n/a	n/a	F	FF008.jpg	black
87.28638310008682	2.7507788999937475	decision_social	1.8911932999035344	7	recall_neutral	M	MF020.jpg	latino
90.03747840004507	2.0118429999565706	ISI	n/a	n/a	n/a	M	MF020.jpg	latino
92.05282139999326	2.750952900038101	decision_social	1.508239999995567	7	recall_neutral	M	MF016.jpg	asian
94.80409730004612	1.2619129000231624	ISI	n/a	n/a	n/a	M	MF016.jpg	asian
96.06961460004095	2.752033600001596	decision_social	1.6248451999854296	8	recall_loss	F	FF030.jpg	white
98.8219650000101	1.7607384000439197	ISI	n/a	n/a	n/a	F	FF030.jpg	white
100.58646460005548	2.750774099957198	decision_social	1.0898748999461532	8	recall_loss	F	FF034.jpg	white
103.33755910000764	3.011826700065285	ISI	n/a	n/a	n/a	F	FF034.jpg	white
106.3529528999934	2.751630900078453	decision_social	1.85706230008509	7	recall_neutral	M	MF018.jpg	latino
109.10491200000979	1.0110758000519127	ISI	n/a	n/a	n/a	M	MF018.jpg	latino
110.11961669998709	2.751069000107236	decision_social	1.7570330000016838	8	recall_loss	F	FF012.jpg	latino
112.8711282000877	1.0115764999063686	ISI	n/a	n/a	n/a	F	FF012.jpg	latino
113.88629320007749	2.750918800011277	decision_social	1.5914169999305159	8	recall_loss	F	FF039.jpg	white
116.63753810001072	2.2615455000195652	ISI	n/a	n/a	n/a	F	FF039.jpg	white
118.90276700002141	2.750773600069806	decision_social	2.1403870000503957	2	predict_win	M	MF034.jpg	latino
121.65387030004058	6.512098200037144	ISI	n/a	n/a	n/a	M	MF034.jpg	latino
128.16963050002232	2.7508090999908745	decision_social	1.6399919000687078	7	recall_neutral	M	MF007.jpg	asian
130.9207814000547	1.0118113999487832	ISI	n/a	n/a	n/a	M	MF007.jpg	asian
131.93618240009528	2.750628399895504	decision_social	1.1571147999493405	7	recall_neutral	M	MF002.jpg	asian
134.6871458000969	3.2621192999649793	ISI	n/a	n/a	n/a	M	MF002.jpg	asian
137.9529338000575	2.751049799961038	decision_social	1.6907362999627367	9	recall_win	M	MF036.jpg	black
140.70431200007442	3.511601399979554	ISI	n/a	n/a	n/a	M	MF036.jpg	black
144.2195684000617	2.7513312000082806	decision_social	1.5730978000210598	7	recall_neutral	M	MF041.jpg	white
146.97125539998524	5.261411900050007	ISI	n/a	n/a	n/a	M	MF041.jpg	white
152.23650970007293	2.7502798999194056	decision_social	2.2240806999616325	7	recall_neutral	M	MF019.jpg	white
154.98711900005583	3.7623466999502853	ISI	n/a	n/a	n/a	M	MF019.jpg	white
158.75304620002862	2.7506293000187725	decision_social	1.1402997999684885	8	recall_loss	F	FF035.jpg	latino
161.50400499999523	2.011896100011654	ISI	n/a	n/a	n/a	F	FF035.jpg	latino
163.51957140001468	2.751296699978411	decision_social	1.974625000031665	7	recall_neutral	F	FF041.jpg	latino
166.2711967000505	1.7613785000285134	ISI	n/a	n/a	n/a	F	FF041.jpg	latino
168.03619000001345	2.750277500017546	decision_social	1.8747661000816151	2	predict_win	F	FF028.jpg	asian
170.7868424000917	6.5122431999770924	ISI	n/a	n/a	n/a	F	FF028.jpg	asian
