onset	duration	trial_type	rt	resp	selection	gender	image	image_type
0.0	1.0	ISI	n/a	n/a	n/a	n/a	n/a	n/a
1.0206196999642998	2.75197930005379	decision_monetary	2.2799194999970496	8	predict_loss	D	SD001.jpg	green
3.772760400082916	1.0101129999384284	ISI	n/a	n/a	n/a	D	SD001.jpg	green
4.7866314998827875	2.751708500087261	decision_monetary	1.8631759001873434	2	recall_win	D	SD002.jpg	purple
7.538482999894768	2.5110563000198454	ISI	n/a	n/a	n/a	D	SD002.jpg	purple
10.052816600073129	2.7519308999180794	decision_monetary	2.0138578999321908	2	recall_win	S	SD003.jpg	yellow
12.80488479998894	2.5113287998829037	ISI	n/a	n/a	n/a	S	SD003.jpg	yellow
15.319441200001165	2.914609999861568	decision_monetary	2.9143054999876767	4	recall_neutral	S	SD004.jpg	white
18.23417489998974	1.2652608999051154	ISI	n/a	n/a	n/a	S	SD004.jpg	white
19.502768399892375	2.7506735001225024	decision_monetary	2.2309082001447678	2	recall_win	S	SD005.jpg	black
22.253583899931982	6.512512200046331	ISI	n/a	n/a	n/a	S	SD005.jpg	black
28.76935620000586	2.7520967999007553	decision_monetary	2.4642008000519127	7	predict_neutral	S	SD006.jpg	black
31.52159220003523	1.0112495999783278	ISI	n/a	n/a	n/a	S	SD006.jpg	black
32.536031800089404	2.751667399890721	decision_monetary	2.063701899955049	2	recall_win	D	SD007.jpg	brown
35.287843300029635	1.761568499961868	ISI	n/a	n/a	n/a	D	SD007.jpg	brown
37.05265669990331	2.7518450000789016	decision_monetary	1.6809301001485437	8	predict_loss	S	SD008.jpg	blue
39.80464489990845	2.011355400085449	ISI	n/a	n/a	n/a	S	SD008.jpg	blue
41.81925619998947	2.75158750009723	decision_monetary	2.5810193999204785	3	recall_loss	D	SD009.jpg	blue
44.570972400018945	3.0116826000157744	ISI	n/a	n/a	n/a	D	SD009.jpg	blue
47.58601640001871	2.751523799961433	decision_monetary	2.3636978999711573	2	recall_win	S	SD010.jpg	yellow
50.33768310002051	3.7616562999319285	ISI	n/a	n/a	n/a	S	SD010.jpg	yellow
54.10260439990088	2.7520033000037074	decision_monetary	1.9649837000761181	8	predict_loss	S	SD011.jpg	blue
56.854753700084984	1.0113738998770714	ISI	n/a	n/a	n/a	S	SD011.jpg	blue
57.86950040003285	2.7521281000226736	decision_monetary	2.3473596000112593	9	predict_win	S	SD012.jpg	brown
60.62177410000004	4.010895899962634	ISI	n/a	n/a	n/a	S	SD012.jpg	brown
64.6359520999249	2.76338000013493	decision_monetary_MISSED	missed	missed	missed	S	SD013.jpg	blue
67.39944879990071	2.016610300168395	ISI	n/a	n/a	n/a	S	SD013.jpg	blue
69.41936179995537	2.7520938999950886	decision_monetary	1.6646034999284893	3	recall_loss	S	SD014.jpg	black
72.1716062000487	1.0111094999592751	ISI	n/a	n/a	n/a	S	SD014.jpg	black
73.18657959997654	2.7626698000822216	decision_monetary_MISSED	missed	missed	missed	D	SD015.jpg	yellow
75.94936299999245	5.516703200060874	ISI	n/a	n/a	n/a	D	SD015.jpg	yellow
81.46945480001159	2.7514657999854535	decision_monetary	2.030001299921423	2	recall_win	S	SD016.jpg	brown
84.2210669000633	2.0115575999952853	ISI	n/a	n/a	n/a	S	SD016.jpg	brown
86.2362240999937	2.813657999970019	decision_monetary	2.813358800020069	3	recall_loss	D	SD017.jpg	blue
